Date,WithinRange,SuccessMetric,Group
09/04/2022 00:00:00,Pre,77,Test
09/04/2022 00:00:00,Pre,11,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,19,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,5,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,10,Test
09/04/2022 00:00:00,Pre,10,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,22,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,14,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,5,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,13,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,52,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,13,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,12,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,11,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,5,Test
09/04/2022 00:00:00,Pre,13,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,30,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,19,Test
09/04/2022 00:00:00,Pre,30,Test
09/04/2022 00:00:00,Pre,5,Test
09/04/2022 00:00:00,Pre,24,Test
09/04/2022 00:00:00,Pre,55,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,35,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,9,Test
09/04/2022 00:00:00,Pre,53,Test
09/04/2022 00:00:00,Pre,1,Control
09/04/2022 00:00:00,Pre,8,Control
09/04/2022 00:00:00,Pre,3,Control
09/04/2022 00:00:00,Pre,1,Control
09/04/2022 00:00:00,Pre,31,Control
09/04/2022 00:00:00,Pre,20,Control
09/04/2022 00:00:00,Pre,9,Control
09/04/2022 00:00:00,Pre,4,Control
09/04/2022 00:00:00,Pre,31,Control
09/04/2022 00:00:00,Pre,32,Control
09/04/2022 00:00:00,Pre,20,Control
09/04/2022 00:00:00,Pre,100,Control
09/04/2022 00:00:00,Pre,0,Control
09/04/2022 00:00:00,Pre,6,Control
09/04/2022 00:00:00,Pre,23,Control
09/04/2022 00:00:00,Pre,274,Control
09/04/2022 00:00:00,Pre,51,Control
09/04/2022 00:00:00,Pre,46,Control
09/04/2022 00:00:00,Pre,63,Control
09/04/2022 00:00:00,Pre,4,Control
09/04/2022 00:00:00,Pre,60,Control
09/04/2022 00:00:00,Pre,21,Control
09/04/2022 00:00:00,Pre,20,Control
09/04/2022 00:00:00,Pre,16,Control
09/04/2022 00:00:00,Pre,7,Control
09/04/2022 00:00:00,Pre,83,Control
09/04/2022 00:00:00,Pre,4,Control
09/04/2022 00:00:00,Pre,0,Control
09/04/2022 00:00:00,Pre,5,Control
09/04/2022 00:00:00,Pre,7,Test
09/04/2022 00:00:00,Pre,19,Control
09/04/2022 00:00:00,Pre,2,Control
09/04/2022 00:00:00,Pre,23,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,10,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,5,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,21,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,2,Control
09/04/2022 00:00:00,Pre,43,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,11,Test
09/04/2022 00:00:00,Pre,20,Control
09/04/2022 00:00:00,Pre,3,Control
09/04/2022 00:00:00,Pre,12,Control
09/04/2022 00:00:00,Pre,2,Control
09/04/2022 00:00:00,Pre,17,Control
09/04/2022 00:00:00,Pre,20,Control
09/04/2022 00:00:00,Pre,42,Test
09/04/2022 00:00:00,Pre,36,Test
09/04/2022 00:00:00,Pre,13,Control
09/04/2022 00:00:00,Pre,13,Test
09/04/2022 00:00:00,Pre,17,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,19,Test
09/04/2022 00:00:00,Pre,32,Test
09/04/2022 00:00:00,Pre,27,Test
09/04/2022 00:00:00,Pre,106,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,37,Test
09/04/2022 00:00:00,Pre,21,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,45,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,26,Test
09/04/2022 00:00:00,Pre,7,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,12,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,361,Test
09/04/2022 00:00:00,Pre,11,Test
09/04/2022 00:00:00,Pre,100,Test
09/04/2022 00:00:00,Pre,68,Test
09/04/2022 00:00:00,Pre,202,Test
09/04/2022 00:00:00,Pre,141,Test
09/04/2022 00:00:00,Pre,143,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,66,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,238,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,3,Test
09/04/2022 00:00:00,Pre,13,Test
09/04/2022 00:00:00,Pre,11,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,10,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,18,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,14,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,7,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,17,Test
09/04/2022 00:00:00,Pre,13,Test
09/04/2022 00:00:00,Pre,15,Test
09/04/2022 00:00:00,Pre,10,Test
09/04/2022 00:00:00,Pre,58,Test
09/04/2022 00:00:00,Pre,16,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,8,Test
09/04/2022 00:00:00,Pre,1097,Test
09/04/2022 00:00:00,Pre,122,Test
09/04/2022 00:00:00,Pre,342,Test
09/04/2022 00:00:00,Pre,45,Test
09/04/2022 00:00:00,Pre,55,Test
09/04/2022 00:00:00,Pre,48,Test
09/04/2022 00:00:00,Pre,52,Test
09/04/2022 00:00:00,Pre,26,Test
09/04/2022 00:00:00,Pre,46,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,41,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,41,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,37,Test
09/04/2022 00:00:00,Pre,20,Test
09/04/2022 00:00:00,Pre,7,Test
09/04/2022 00:00:00,Pre,9,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,7,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,349,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,9,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,13,Test
09/04/2022 00:00:00,Pre,46,Test
09/04/2022 00:00:00,Pre,236,Test
09/04/2022 00:00:00,Pre,386,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,46,Test
09/04/2022 00:00:00,Pre,2,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,4,Test
09/04/2022 00:00:00,Pre,26,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,0,Test
09/04/2022 00:00:00,Pre,5,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,51,Test
09/04/2022 00:00:00,Pre,14,Test
09/04/2022 00:00:00,Pre,13,Test
09/04/2022 00:00:00,Pre,10,Test
09/04/2022 00:00:00,Pre,1,Test
09/04/2022 00:00:00,Pre,6,Test
09/04/2022 00:00:00,Pre,103,Test
09/04/2022 00:00:00,Pre,404,Test
09/04/2022 00:00:00,Pre,42,Test
09/04/2022 00:00:00,Pre,33,Test
09/04/2022 00:00:00,Pre,705,Test
09/04/2022 00:00:00,Pre,24,Test
09/04/2022 00:00:00,Pre,374,Test
09/04/2022 00:00:00,Pre,104,Test
09/04/2022 00:00:00,Pre,505,Test
09/04/2022 00:00:00,Pre,38,Test
09/04/2022 00:00:00,Pre,76,Test
09/04/2022 00:00:00,Pre,75,Test
09/04/2022 00:00:00,Pre,279,Test
09/04/2022 00:00:00,Pre,195,Test
09/04/2022 00:00:00,Pre,550,Test
09/04/2022 00:00:00,Pre,24,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,60,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,40,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,25,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,280,Test
09/05/2022 00:00:00,Pre,30,Test
09/05/2022 00:00:00,Pre,23,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,10,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,10,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,14,Test
09/05/2022 00:00:00,Pre,36,Test
09/05/2022 00:00:00,Pre,43,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,15,Test
09/05/2022 00:00:00,Pre,30,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,6,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,6,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,25,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,11,Test
09/05/2022 00:00:00,Pre,25,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,8,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,153,Test
09/05/2022 00:00:00,Pre,22,Control
09/05/2022 00:00:00,Pre,0,Control
09/05/2022 00:00:00,Pre,77,Control
09/05/2022 00:00:00,Pre,9,Control
09/05/2022 00:00:00,Pre,24,Control
09/05/2022 00:00:00,Pre,20,Control
09/05/2022 00:00:00,Pre,7,Control
09/05/2022 00:00:00,Pre,7,Control
09/05/2022 00:00:00,Pre,12,Control
09/05/2022 00:00:00,Pre,13,Control
09/05/2022 00:00:00,Pre,1,Control
09/05/2022 00:00:00,Pre,7,Control
09/05/2022 00:00:00,Pre,4,Control
09/05/2022 00:00:00,Pre,0,Control
09/05/2022 00:00:00,Pre,0,Control
09/05/2022 00:00:00,Pre,1,Control
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,7,Control
09/05/2022 00:00:00,Pre,5,Control
09/05/2022 00:00:00,Pre,0,Control
09/05/2022 00:00:00,Pre,23,Control
09/05/2022 00:00:00,Pre,13,Control
09/05/2022 00:00:00,Pre,6,Control
09/05/2022 00:00:00,Pre,17,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,27,Test
09/05/2022 00:00:00,Pre,6,Control
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,321,Control
09/05/2022 00:00:00,Pre,42,Control
09/05/2022 00:00:00,Pre,53,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,118,Test
09/05/2022 00:00:00,Pre,92,Test
09/05/2022 00:00:00,Pre,181,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,5,Test
09/05/2022 00:00:00,Pre,26,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,11,Control
09/05/2022 00:00:00,Pre,51,Control
09/05/2022 00:00:00,Pre,4,Control
09/05/2022 00:00:00,Pre,15,Control
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,0,Control
09/05/2022 00:00:00,Pre,6,Control
09/05/2022 00:00:00,Pre,56,Control
09/05/2022 00:00:00,Pre,8,Control
09/05/2022 00:00:00,Pre,18,Control
09/05/2022 00:00:00,Pre,21,Control
09/05/2022 00:00:00,Pre,21,Control
09/05/2022 00:00:00,Pre,53,Control
09/05/2022 00:00:00,Pre,12,Control
09/05/2022 00:00:00,Pre,65,Control
09/05/2022 00:00:00,Pre,2,Control
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,12,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,136,Test
09/05/2022 00:00:00,Pre,48,Test
09/05/2022 00:00:00,Pre,241,Test
09/05/2022 00:00:00,Pre,167,Test
09/05/2022 00:00:00,Pre,139,Test
09/05/2022 00:00:00,Pre,11,Test
09/05/2022 00:00:00,Pre,980,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,301,Test
09/05/2022 00:00:00,Pre,27,Test
09/05/2022 00:00:00,Pre,24,Test
09/05/2022 00:00:00,Pre,699,Test
09/05/2022 00:00:00,Pre,24,Test
09/05/2022 00:00:00,Pre,575,Test
09/05/2022 00:00:00,Pre,370,Test
09/05/2022 00:00:00,Pre,68,Test
09/05/2022 00:00:00,Pre,93,Test
09/05/2022 00:00:00,Pre,13,Test
09/05/2022 00:00:00,Pre,13,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,8,Test
09/05/2022 00:00:00,Pre,95,Test
09/05/2022 00:00:00,Pre,549,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,48,Test
09/05/2022 00:00:00,Pre,183,Test
09/05/2022 00:00:00,Pre,37,Test
09/05/2022 00:00:00,Pre,40,Test
09/05/2022 00:00:00,Pre,103,Test
09/05/2022 00:00:00,Pre,590,Test
09/05/2022 00:00:00,Pre,49,Test
09/05/2022 00:00:00,Pre,849,Test
09/05/2022 00:00:00,Pre,8,Test
09/05/2022 00:00:00,Pre,128,Test
09/05/2022 00:00:00,Pre,5,Test
09/05/2022 00:00:00,Pre,10,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,11,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,13,Test
09/05/2022 00:00:00,Pre,22,Test
09/05/2022 00:00:00,Pre,17,Test
09/05/2022 00:00:00,Pre,17,Test
09/05/2022 00:00:00,Pre,39,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,43,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,20,Test
09/05/2022 00:00:00,Pre,19,Test
09/05/2022 00:00:00,Pre,22,Test
09/05/2022 00:00:00,Pre,23,Test
09/05/2022 00:00:00,Pre,18,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,20,Test
09/05/2022 00:00:00,Pre,8,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,15,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,11,Test
09/05/2022 00:00:00,Pre,17,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,11,Test
09/05/2022 00:00:00,Pre,5,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,22,Test
09/05/2022 00:00:00,Pre,10,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,8,Test
09/05/2022 00:00:00,Pre,18,Test
09/05/2022 00:00:00,Pre,8,Test
09/05/2022 00:00:00,Pre,39,Test
09/05/2022 00:00:00,Pre,5,Test
09/05/2022 00:00:00,Pre,9,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,53,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,15,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,9,Test
09/05/2022 00:00:00,Pre,14,Test
09/05/2022 00:00:00,Pre,25,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,31,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,6,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,9,Test
09/05/2022 00:00:00,Pre,2,Test
09/05/2022 00:00:00,Pre,61,Test
09/05/2022 00:00:00,Pre,10,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,30,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,48,Test
09/05/2022 00:00:00,Pre,37,Test
09/05/2022 00:00:00,Pre,38,Test
09/05/2022 00:00:00,Pre,43,Test
09/05/2022 00:00:00,Pre,19,Test
09/05/2022 00:00:00,Pre,28,Test
09/05/2022 00:00:00,Pre,218,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,16,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,5,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,16,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,4,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,3,Test
09/05/2022 00:00:00,Pre,16,Test
09/05/2022 00:00:00,Pre,0,Test
09/05/2022 00:00:00,Pre,1,Test
09/05/2022 00:00:00,Pre,36,Test
09/05/2022 00:00:00,Pre,7,Test
09/05/2022 00:00:00,Pre,13,Test
09/06/2022 00:00:00,Pre,31,Test
09/06/2022 00:00:00,Pre,13,Test
09/06/2022 00:00:00,Pre,10,Test
09/06/2022 00:00:00,Pre,10,Test
09/06/2022 00:00:00,Pre,23,Test
09/06/2022 00:00:00,Pre,8,Test
09/06/2022 00:00:00,Pre,10,Test
09/06/2022 00:00:00,Pre,19,Test
09/06/2022 00:00:00,Pre,4,Test
09/06/2022 00:00:00,Pre,2,Test
09/06/2022 00:00:00,Pre,15,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,2,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,22,Test
09/06/2022 00:00:00,Pre,17,Test
09/06/2022 00:00:00,Pre,3,Test
09/06/2022 00:00:00,Pre,47,Test
09/06/2022 00:00:00,Pre,29,Test
09/06/2022 00:00:00,Pre,44,Test
09/06/2022 00:00:00,Pre,46,Test
09/06/2022 00:00:00,Pre,12,Test
09/06/2022 00:00:00,Pre,49,Test
09/06/2022 00:00:00,Pre,229,Test
09/06/2022 00:00:00,Pre,916,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,472,Test
09/06/2022 00:00:00,Pre,21,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,20,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,4,Test
09/06/2022 00:00:00,Pre,7,Test
09/06/2022 00:00:00,Pre,6,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,13,Test
09/06/2022 00:00:00,Pre,4,Test
09/06/2022 00:00:00,Pre,6,Test
09/06/2022 00:00:00,Pre,2,Test
09/06/2022 00:00:00,Pre,45,Control
09/06/2022 00:00:00,Pre,8,Test
09/06/2022 00:00:00,Pre,0,Control
09/06/2022 00:00:00,Pre,29,Control
09/06/2022 00:00:00,Pre,0,Control
09/06/2022 00:00:00,Pre,319,Control
09/06/2022 00:00:00,Pre,65,Control
09/06/2022 00:00:00,Pre,45,Control
09/06/2022 00:00:00,Pre,18,Control
09/06/2022 00:00:00,Pre,29,Control
09/06/2022 00:00:00,Pre,111,Control
09/06/2022 00:00:00,Pre,16,Control
09/06/2022 00:00:00,Pre,3,Control
09/06/2022 00:00:00,Pre,8,Control
09/06/2022 00:00:00,Pre,56,Control
09/06/2022 00:00:00,Pre,6,Control
09/06/2022 00:00:00,Pre,1,Control
09/06/2022 00:00:00,Pre,18,Control
09/06/2022 00:00:00,Pre,12,Control
09/06/2022 00:00:00,Pre,114,Test
09/06/2022 00:00:00,Pre,10,Control
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,26,Control
09/06/2022 00:00:00,Pre,39,Control
09/06/2022 00:00:00,Pre,47,Test
09/06/2022 00:00:00,Pre,26,Test
09/06/2022 00:00:00,Pre,4,Control
09/06/2022 00:00:00,Pre,3,Control
09/06/2022 00:00:00,Pre,5,Control
09/06/2022 00:00:00,Pre,20,Control
09/06/2022 00:00:00,Pre,21,Control
09/06/2022 00:00:00,Pre,1,Control
09/06/2022 00:00:00,Pre,23,Control
09/06/2022 00:00:00,Pre,2,Control
09/06/2022 00:00:00,Pre,8,Control
09/06/2022 00:00:00,Pre,10,Control
09/06/2022 00:00:00,Pre,6,Control
09/06/2022 00:00:00,Pre,0,Control
09/06/2022 00:00:00,Pre,49,Control
09/06/2022 00:00:00,Pre,25,Control
09/06/2022 00:00:00,Pre,14,Control
09/06/2022 00:00:00,Pre,3,Control
09/06/2022 00:00:00,Pre,2,Control
09/06/2022 00:00:00,Pre,607,Test
09/06/2022 00:00:00,Pre,2,Test
09/06/2022 00:00:00,Pre,90,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,5,Test
09/06/2022 00:00:00,Pre,13,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,6,Test
09/06/2022 00:00:00,Pre,6,Test
09/06/2022 00:00:00,Pre,14,Test
09/06/2022 00:00:00,Pre,4,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,28,Test
09/06/2022 00:00:00,Pre,14,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,2,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,9,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,46,Test
09/06/2022 00:00:00,Pre,10,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,4,Test
09/06/2022 00:00:00,Pre,13,Test
09/06/2022 00:00:00,Pre,2,Test
09/06/2022 00:00:00,Pre,30,Test
09/06/2022 00:00:00,Pre,9,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,3,Test
09/06/2022 00:00:00,Pre,0,Test
09/06/2022 00:00:00,Pre,5,Test
09/06/2022 00:00:00,Pre,21,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,24,Test
09/06/2022 00:00:00,Pre,3,Test
09/06/2022 00:00:00,Pre,1,Test
09/06/2022 00:00:00,Pre,2,Test
09/06/2022 00:00:00,Pre,36,Test
09/06/2022 00:00:00,Pre,14,Test
09/06/2022 00:00:00,Pre,4,Test
09/06/2022 00:00:00,Pre,3,Test
09/06/2022 00:00:00,Pre,1,Test
